??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
bubu,[bu?bu],Substantivo,Forro (Santome),Baiacu. buta[bu?ta](v.)1.Colocar. 2.Dizer.3.Pôr.,,,Araujo & Hagemeijer (2013),
budu,[?budu],Substantivo,Forro (Santome),"Pedra. butadô-vungu[buta?do?v?gu](n.) Puxador,aquele",,,Araujo & Hagemeijer (2013),
budu-lolodu,[?budul??l?du],Substantivo,Forro (Santome),"Pedraparapisar. queintroduzamúsica,sobretudonosokope.",,,Araujo & Hagemeijer (2013),
budu-magita,[?buduma?gita],Substantivo,Forro (Santome),Pedraparamoera buta kloson ba lonji [bu?ta kl??s?? ba ?l???i] (expr.),,,Araujo & Hagemeijer (2013),
budu-pali,[?budupa?li],Substantivo,Forro (Santome),Pedraparaaparturiente butakupi[bu?taku?pi](expr.)Cuspir.,,,Araujo & Hagemeijer (2013),
repousarquandovaidaràluz. butapedasu,[bu?tap??dasu],Expressão,Forro (Santome),Remendar.,,,Araujo & Hagemeijer (2013),
bufa,[bu?fa],Verbo,Forro (Santome),Cobrir(-se). butin[bu?t?](n.)1.Botaalta. 2.Butina.,,,Araujo & Hagemeijer (2013),
bufadu,[bu?fadu],Adjetivo,Forro (Santome),Agasalhado. 2.Disfarça- butubutu[?butu?butu](adj.)Robusto.,,,Araujo & Hagemeijer (2013),
do. butxika,[bu?t?ika],Substantivo,Forro (Santome),Botica. 2.Farmácia.,,,Araujo & Hagemeijer (2013),
bujibuji,[bu??ibu??i],Substantivo,Forro (Santome),Bengue. Cf. bengi. butxizadu[but?i?za](adj.)Batizado.,Bengue,Cf.,Araujo & Hagemeijer (2013),
bujina,[bu??ina],Substantivo,Forro (Santome),Buzina. buya[bu?ja](v.)1.Abraçar. 2.Complicar. 3.Embru-,,,Araujo & Hagemeijer (2013),
bujinga,[bu???ga],Substantivo,Forro (Santome),Poçadeágua. lhar.4.Enredar. 5.Ensarilhar.,,,Araujo & Hagemeijer (2013),
bujinganga,[bu???g?g? a],Substantivo,Forro (Santome),Bugiganga. buyada[bu?jada](n.)1.Alergia. 2.Mau-olhado.,,,Araujo & Hagemeijer (2013),
buka,[bu?ka],Verbo,Forro (Santome),Buscar. 2.Tentar. buyadu[bu?jadu](adj.)1.Abraçado. 2.Embrulhado.,,,Araujo & Hagemeijer (2013),
bukaledu,[bu?ka?l?du],Expressão,Forro (Santome),Provocar. 3.Emmauslençóis. 4.Engatado. 5.Ensarilhado.,,,Araujo & Hagemeijer (2013),
bula,[?bula],Substantivo,Forro (Santome),Bolodefarinhademilho. 2.Bolo buza[bu?za](v.)Abusar.,,,Araujo & Hagemeijer (2013),
defubá. bwa,[?bwa],Advérbio,Forro (Santome),Bolodefarinhademilho. 2.Bolo buza[bu?za](v.)Abusar.,,,Araujo & Hagemeijer (2013),
bulawê,[bula?we],Substantivo,Forro (Santome),Bulawê.Ritmomusicaltradicio- bwa[?bwa](v.)Serbom.,,,Araujo & Hagemeijer (2013),
bumabuma,[bu?mabu?ma],Verbo,Forro (Santome),Fazeralgoatabalhoa- bwatu[?bwatu](n.)Boato.,,,Araujo & Hagemeijer (2013),
bwax-tadji,[?bwa??tad?i],Substantivo,Forro (Santome),Boatarde.,,,Araujo & Hagemeijer (2013),
bumbu,[?b?bu],Substantivo,Forro (Santome),Bombo. bwê[?bwe](n.)Bovino.,,,Araujo & Hagemeijer (2013),
buneku,[bu?n?ku],Substantivo,Forro (Santome),Boneco. bwê-mwala[?bwe?mwala](n.)Vaca.,,,Araujo & Hagemeijer (2013),
bunga,[b??ga],Substantivo,Forro (Santome),Pau-candeia.Hernandiabeninen- bwê-ome[?bwe??m?](n.)Boi.,,,Araujo & Hagemeijer (2013),
sis. byê,[?bje],Verbo,Forro (Santome),Cozer. 2.Estarcozido.,,,Araujo & Hagemeijer (2013),
bunitu,[bu?nitu],Substantivo,Forro (Santome),Bonito.Caranxcrysos. byebyebye[bj?bj??bj?](n.)Claridade.,,,Araujo & Hagemeijer (2013),
bunzu,[?b?zu],Substantivo,Forro (Santome),Búzio. byêdu[?bjedu](adj.)Cozido.,,,Araujo & Hagemeijer (2013),
buru,[?bu?u],Substantivo,Forro (Santome),Burro. byololo[bj?l??l?](id.)Cf.Sendêbyololo.,,,Araujo & Hagemeijer (2013),
da,[?da],Conjunção,Forro (Santome),Devidoa. 2.Porcausade.3.Por- dakeblakwakwakwa[?da?k?blakwakwa?kwa](expr.),,,Araujo & Hagemeijer (2013),
daawataba,[?da?awa?taba],Expressão,Forro (Santome),Turvaraágua. daku[?da?ku](expr.) 1.Acontecer. 2.Encontrar.,,,Araujo & Hagemeijer (2013),
dabaki,[?da?baki],Expressão,Forro (Santome),Admoestar. 2.Berrar. dakubu[?da?kubu](expr.)1.Arremeter. 2.Fazerin-,,,Araujo & Hagemeijer (2013),
dabalansu,[?daba?l?s?u],Expressão,Forro (Santome),Girar. 2.Rodar. vestidas.,,,Araujo & Hagemeijer (2013),
dabanka,[?da?b?k? a],Expressão,Forro (Santome),Instalar-se. dakupo[?da?ku?p?](expr.)Bater.,,,Araujo & Hagemeijer (2013),
dabega,[?da?b?ga],Expressão,Forro (Santome),Engravidar. dakusu[?da?kusu](expr.)Seracometidodediarreia.,,,Araujo & Hagemeijer (2013),
dabensa,[?da?b?s?a],Expressão,Forro (Santome),Abençoar. daloda[?da?l?da](expr.)Darvoltas.,,,Araujo & Hagemeijer (2013),
dablandu,[?da?bl?d? u],Expressão,Forro (Santome),Anunciar. damangingi[?dam?g? ??gi](expr.) 1.Empoleirar(-se).,,,Araujo & Hagemeijer (2013),
dadô-patxi,[da?do?pat?i],Substantivo,Forro (Santome),Denunciante. danadu[da?nadu](adj.)1.Danificado. 2.Estragado.,,,Araujo & Hagemeijer (2013),
