??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
saka,[?saka],Substantivo,Forro (Santome),Bolsa. 2.Saca. san[?s?]? (pron.) 1.-a(formal). Terceirapessoado,,,Araujo & Hagemeijer (2013),
s c s o a o l k n v a v e p e r u r . s li a,[. sakapu?li],Verbo,Forro (Santome),Escapulir. 2.Fugir. 3.Re- s s a a n n d d a ale [? t s i ? [ d? s a ? ] d? a (n ?l . ? ) ti E ] n ( x n a .) da S . andália.,,,Araujo & Hagemeijer (2013),
sakasaka,[sa?kasa?ka],Substantivo,Forro (Santome),Bruto. 2.Desajeitado. sandja[s???d?a](n.)Sardinha.,,,Araujo & Hagemeijer (2013),
sakaya,[sa?kaja],Substantivo,Forro (Santome),Chocalho. 2.Maraca. sandja-longô[s???d?a?lõgo](n.)Sardinela.Sardinella,,,Araujo & Hagemeijer (2013),
saklamentu,[sakla?m?t?u],Substantivo,Forro (Santome),Sacramento. aurita.,,,Araujo & Hagemeijer (2013),
saku,[?saku],Substantivo,Forro (Santome),Saco. sangê[s???ge](n.)Senhora.,,,Araujo & Hagemeijer (2013),
sakusaku,[sa?kusa?ku],Adjetivo,Forro (Santome),Desajeitado. 2.Esta- sangi[?s?g? i](n.)Sangue.,,,Araujo & Hagemeijer (2013),
banado. sanklixtia,[s?k? li??tia],Substantivo,Forro (Santome),Sacristia.,,,Araujo & Hagemeijer (2013),
sala,[sa?la],Pronome demonstrativo,Forro (Santome),Aquela. 2.Aquelas.3.Aquele. sanklixton[s?k? li??tõ](n.)Sacristão.,,,Araujo & Hagemeijer (2013),
sala-ke,[?sala?k?],Substantivo,Forro (Santome),Saladeestar. santaji-basu-kafe [s???ta?i ?basu ka?f?] (n.) Santaji-,,,Araujo & Hagemeijer (2013),
salakonta,[sala?kõta],Substantivo,Forro (Santome),Cana-de-jardim.Cannabi- basu-kafe.Elytrariamarginata.,,,Araujo & Hagemeijer (2013),
dentata. santifikadu,[s?t?ifi?kadu],Adjetivo,Forro (Santome),Santificado.,,,Araujo & Hagemeijer (2013),
salamba,[sal???ba],Substantivo,Forro (Santome),Salamba.Dialiumguineense. santome[s?t???m?](n.) 1.Santome. Alínguasanto-,,,Araujo & Hagemeijer (2013),
SãoToméePríncipe. sêji,[?se?i],Substantivo,Forro (Santome),Apetitesexual. 2.Sede.Cf.sêdji.,,,Araujo & Hagemeijer (2013),
Santome,[s?t???m?],Topônimo,Forro (Santome),IlhadeSãoTomé. seka[?s?ka](n.)Seca.,,,Araujo & Hagemeijer (2013),
santope,[s?t???p?],Substantivo,Forro (Santome),Centopéia.Otostigmusproduc- sekelu[s??k?lu](adv.)Aomenos.,,,Araujo & Hagemeijer (2013),
tus. sekletalia,[s?kl?ta?lia],Substantivo,Forro (Santome),Secretaria.,,,Araujo & Hagemeijer (2013),
santu,[?s?t?u],Adjetivo,Forro (Santome),Santo. sêklêtalyu[sekle?talju](n.)Secretário.,,,Araujo & Hagemeijer (2013),
saôdji,[sa?od?i],Substantivo,Forro (Santome),Saúde. seku[?s?ku](adj.)Seco.,,,Araujo & Hagemeijer (2013),
saôji,[sa?o?i],Substantivo,Forro (Santome),Saúde.Cf.saôdji. sekuklakata[?s?kuklaka?ta](expr.)Sequíssimo.,,,Araujo & Hagemeijer (2013),
sapatêlu,[sapa?telu],Substantivo,Forro (Santome),Sapateiro. sekulu[?s?kulu](n.)Século.,,,Araujo & Hagemeijer (2013),
sapatu,[sa?patu],Substantivo,Forro (Santome),Sapato. sela[s??la](adv.)1.Apenas.Sunnakatlabakukwa,,,Araujo & Hagemeijer (2013),
sapatu-klonklo-longô,[sa?patukl???kl??lõgo],Substantivo,Forro (Santome),"Bota. divlidufa,seladifelu.Elenãotrabalhacomcoisasde",,,Araujo & Hagemeijer (2013),
sapê,[sa?pe],Substantivo,Forro (Santome),"Chapéu. vidro,apenascomasdeferro. 2.Terde.Selapanbe",,,Araujo & Hagemeijer (2013),
sasa,[sa?sa],Verbo,Forro (Santome),Capinar. 2.Esquartejar.3.Golpe- seladô[s?la?do](n.)Serrador.,,,Araujo & Hagemeijer (2013),
sasabengula,[sa?sab?gu?la],Expressão,Forro (Santome),Terrelaçõessexu- sêlê-alê[se?lea?le](n.)Sêlê-alê.Leeatinctoria.,,,Araujo & Hagemeijer (2013),
a sa is s . asa,[sasa?sa],Adjetivo,Forro (Santome),Esperto. 2.Espevitado. s s ê ê l l ê ê s lê êl [ ê se [ l s e e ? ? l l e e ] se ( ? i l d e . ] ) ( C n f . . ) k S ô êl l ê ê -a s l ê ê l . ê C lê f. . sêlê-alê.,,,Araujo & Hagemeijer (2013),
sataawa,[sa?ta?awa],Expressão,Forro (Santome),Atravessarumcursode selotxi[s??l?t?i](n.)Serrote.,,,Araujo & Hagemeijer (2013),
sata-sata,[sa?tasa?ta],Adjetivo,Forro (Santome),Espevitado. 2.Salti- semba[?s?b?a](n.)Semba.,,,Araujo & Hagemeijer (2013),
tante. sembleya,[s???bl?ja],Substantivo,Forro (Santome),Assembleia.,,,Araujo & Hagemeijer (2013),
satida,[?satida],Substantivo,Forro (Santome),Sátira. semplu[?s?p?lu](n.)1.Piada. 2.Provérbio. 3.Metá-,,,Araujo & Hagemeijer (2013),
satu,[?satu],Substantivo,Forro (Santome),Passo. 2.Salto. forasprovocatórias.,,,Araujo & Hagemeijer (2013),
sawdadji,[saw?dad?i],Substantivo,Forro (Santome),Saudade. sen[?s?]? (num.)Cem.,,,Araujo & Hagemeijer (2013),
saya,[?saja],Substantivo,Forro (Santome),Saia. sen[?s?]? (v.)1.Existir. 2.Haver.Tempunasenfa.,,,Araujo & Hagemeijer (2013),
se,[?s?],Pronome demonstrativo,Forro (Santome),Essa. 2.Essas. 3.Esse.Ngatoma sena[?s?na](n.)1.Cena. 2.Cerimônias. 3.Manha.,,,Araujo & Hagemeijer (2013),
sê,[?se],Preposição,Forro (Santome),Sem. sendê [s??de] (v.),,,Araujo & Hagemeijer (2013),
sêbê,[se?be],Substantivo,Forro (Santome),Ciência. 2.Sabedoria. 3.Saber. sendêbyololo[s??debj?l??l?](expr.)Estender-semui-,,,Araujo & Hagemeijer (2013),
sêbêdô,[sebe?do],Substantivo,Forro (Santome),Sábio. senge[s???g?](n.) Senge. Pratotradicionalàbasede,,,Araujo & Hagemeijer (2013),
sedu,[?s?du],Advérbio,Forro (Santome),Cedo. sentenalyu[s?t???nalju](n.)Centenário.,,,Araujo & Hagemeijer (2013),
sega,[s??ga],Verbo,Forro (Santome),Cegar. 2.Distrair. sentenxa[s???t???a](n.)1.Carma. 2.Espírito.3.Sen-,,,Araujo & Hagemeijer (2013),
segu,[?s?gu],Adjetivo,Forro (Santome),Cego. tença.,,,Araujo & Hagemeijer (2013),
sêgunda-fela,[se?g?da?f?la],Substantivo,Forro (Santome),Segunda-feira. sentlu[?s?t?lu](n.)Centro.,,,Araujo & Hagemeijer (2013),
sêgundu,[se?g?du],Numeral,Forro (Santome),Segundo. senzala[s???zala](n.)Senzala.,,,Araujo & Hagemeijer (2013),
sêjafêta,[?se?a?feta],Expressão,Forro (Santome),Sejafeita. Sêjafêtasa senzon[s???z?]? (n.)1.Febre. 2.Sintomasdedoença.,Sejafeita,Sêjafêtasa senzon[s???z?]? (n.,Araujo & Hagemeijer (2013),
vonteDêsu.SejafeitaavontadedeDeus. sêpa,[?se?pa],Conjunção,Forro (Santome),Semque.,,,Araujo & Hagemeijer (2013),
sê-plôsêdê,[?seplose?de],Adjetivo,Forro (Santome),Desalinhado. 2.De- soki[?s?ki](n.)Choco.Sepiaoficinalis.,,,Araujo & Hagemeijer (2013),
sesa,[?s?sa],Adjetivo,Forro (Santome),Insignificante. 2.Inútil. sokope[s?k??p?](n.)Socopé.Dançatradicional.,,,Araujo & Hagemeijer (2013),
sêsa,[?sesa],Substantivo,Forro (Santome),Pombo-verdedeSãoTomé. Treron soku[?s?ku](conj.)1.Aí. 2.Depois. 3.Então.So-,Pombo-verdedeSãoTomé,Treron soku[?s?ku](conj.,Araujo & Hagemeijer (2013),
sêsê-limê,[se?se?lime],Substantivo,Forro (Santome),Sêsê-limê. Psophocarpus dessapedra.,Sêsê-limê,Psophocarpus dessapedra.,Araujo & Hagemeijer (2013),
scandens. soku,[?s?ku],Foco,Forro (Santome),Éque.Bôsokunflakuê.Contigoé,,,Araujo & Hagemeijer (2013),
sesenta,[se?s?ta],Numeral,Forro (Santome),Sessenta. quefalei.,,,Araujo & Hagemeijer (2013),
sêsentu,[se?s?tu],Numeral,Forro (Santome),Seiscentos. sola[?s?la](n.)Sola.,,,Araujo & Hagemeijer (2013),
seta,[s??ta],Verbo,Forro (Santome),Aceitar. 2.Saber. sola[s??la](n.)Choro.,,,Araujo & Hagemeijer (2013),
sete,[?s?t?],Numeral,Forro (Santome),Sete. sola[s??la](v.)Chorar.,,,Araujo & Hagemeijer (2013),
sete-dexi,[?s?t??d??i],Numeral,Forro (Santome),Setenta. solafliji[s??lafli??i](expr.)Chorardesalmadamente.,,,Araujo & Hagemeijer (2013),
setemblu,[s??t?b?lu],Substantivo,Forro (Santome),Setembro. solapotopoto[s??lap??t?p??t?](expr.) Chorardesal-,,,Araujo & Hagemeijer (2013),
setenta,[s??t?t?a],Numeral,Forro (Santome),Setenta. madamente.,,,Araujo & Hagemeijer (2013),
setesentu,[s?t??s?t?u],Numeral,Forro (Santome),Setecentos. sôlê[?sole](adj.) 1.Solitário. 2.Solteiro. 3.Sozi-,,,Araujo & Hagemeijer (2013),
setimu,[?s?timu],Numeral,Forro (Santome),Sétimo. nho.,,,Araujo & Hagemeijer (2013),
setu,[?s?tu],Adjetivo,Forro (Santome),Certo. 2.Correto. sôlê[?sole](n.)1.Solitário. 2.Solteiro.,,,Araujo & Hagemeijer (2013),
seva,[s??va],Verbo,Forro (Santome),Ficarestéril. soletla[s?l??tla](v.)Soletrar.,,,Araujo & Hagemeijer (2013),
sêvada,[se?vada],Substantivo,Forro (Santome),Cevada. soletladu[s?l??tladu](adj.)Soletrado.,,,Araujo & Hagemeijer (2013),
sêvadu,[se?vadu],Adjetivo,Forro (Santome),Estéril. sôlisô[so?liso](n.)1.Chouriço. 2.Linguiça.,,,Araujo & Hagemeijer (2013),
sêxi,[?se?i],Numeral,Forro (Santome),Seis. solo[?s?l?](n.)Sol.,,,Araujo & Hagemeijer (2013),
sêxi-dexi,[?se?i?d??i],Numeral,Forro (Santome),Sessenta. sôlôbatu[solo?batu](n.)Celibato.,,,Araujo & Hagemeijer (2013),
sêxta-fela,[?se?ta?f?la],Substantivo,Forro (Santome),Sexta-feira. solo mê-dja ngwangwangwan [?s?l? me?d?a,,,Araujo & Hagemeijer (2013),
sêxtêmunha,[se?te?m??a],Substantivo,Forro (Santome),Testemunha. ?gw?g? w???gw?]? (expr.)Solabrasador.,,,Araujo & Hagemeijer (2013),
sêxtu,[?se?tu],Numeral,Forro (Santome),Sexto. soma[?s?ma](n.)Soma. S,,,Araujo & Hagemeijer (2013),
sidlela,[si?dl?la],Substantivo,Forro (Santome),Cedro-rosa.Cedrelaodorata. somana[s??mana](n.)Semana.,,,Araujo & Hagemeijer (2013),
siganu,[si?g?n? u],Substantivo,Forro (Santome),Cigano. sombla[s???bla](v.) 1.Assombrar. 2.Assustar(-se).,,,Araujo & Hagemeijer (2013),
sigi,[si?gi],Verbo,Forro (Santome),Continuar. 2.Seguir. 3.Espantar.,,,Araujo & Hagemeijer (2013),
simêla,[si?mela],Substantivo,Forro (Santome),Cimeira. sombladu[s???bladu](adj.)1.Assombrado. 2.Assus-,,,Araujo & Hagemeijer (2013),
simenta,[sim???ta],Verbo,Forro (Santome),Cimentar. tado. 3.Espantado.,,,Araujo & Hagemeijer (2013),
sinôra,[si?no?a],Substantivo,Forro (Santome),Cenoura. son[?s?]? (n.)1.Chão. 2.Solo.3.Terra.,,,Araujo & Hagemeijer (2013),
sivika,[?sivika],Adjetivo,Forro (Santome),Cívica. sonha[s????a](v.)Sonhar.,,,Araujo & Hagemeijer (2013),
sivil,[si?vil],Adjetivo,Forro (Santome),Civil. sonhu[?s??? u](n.)Sonho.,,,Araujo & Hagemeijer (2013),
sixti,[si??ti],Verbo,Forro (Santome),Assistir. sono[?s?n?](n.)Sono.,,,Araujo & Hagemeijer (2013),
so,[?s?],Advérbio,Forro (Santome),Apenas.Sunpasamun’?aanuso. sono[s??n?](v.)Ruídoproduzidocomoslábiospara,,,Araujo & Hagemeijer (2013),
tuben.Entãolavaramaalmofarizmuitobem. sonosono,[s??n?s??n?],Ideofone,Forro (Santome),Cf.likusonosono.,,,Araujo & Hagemeijer (2013),
sôbê,[so?be],Verbo,Forro (Santome),Bater. 2.Chover. sopla[s??pla](v.) 1.Assoprar. 2.Atirar. 3.Dizer.,,,Araujo & Hagemeijer (2013),
sobelubu,[s??b?lubu],Adjetivo,Forro (Santome),Arrogante. 2.Soberbo. 4.Falar.5.Soprar.,,,Araujo & Hagemeijer (2013),
sôbêpo,[so?be?p?],Expressão,Forro (Santome),Batercomopau. 2.Es- soplaolha[s??pla???a](expr.)Namorar.,,,Araujo & Hagemeijer (2013),
pancar. soplapê,[s??pla?pe],Expressão,Forro (Santome),Disparar.,,,Araujo & Hagemeijer (2013),
sobladu,[s??bladu],Substantivo,Forro (Santome),Piso. 2.Soalho. 3.Sobra- sosega[s?s??ga](v.)1.Acalmar. 2.Sossegar.,,,Araujo & Hagemeijer (2013),
do. sosegadu,[s?s??gadu],Adjetivo,Forro (Santome),Quieto. 2.Sossegado.,,,Araujo & Hagemeijer (2013),
soda,[?s?da],Substantivo,Forro (Santome),Sodacáustica. sosegu[s??s?gu](n.)1.Calma. 2.Sossego.,,,Araujo & Hagemeijer (2013),
sode,[s??d?],Substantivo,Forro (Santome),Polícia. 2.Soldado. sôsô[so?so](adj.)1.Aventureiro. 2.Vadio. 3.Vaga-,,,Araujo & Hagemeijer (2013),
sôdon-kampu,[so?dõ?k?p? u],Substantivo,Forro (Santome),Sôdon-kampu. Ryn- bundo.,Sôdon-kampu,Ryn- bundo.,Araujo & Hagemeijer (2013),
chosiaminima. sôsô,[so?so],Verbo,Forro (Santome),Aventureirar. 2.Vadiar. 3.Vaga-,,,Araujo & Hagemeijer (2013),
sogla,[?s?gla],Substantivo,Forro (Santome),Nora. 2.Sogra.Cf.xtloga. bundear. 4.Vaguear.,,,Araujo & Hagemeijer (2013),
soglu,[?s?glu],Substantivo,Forro (Santome),Genro. 2.Sogro.Cf.xtlogu. sososo[s?s??s?](conj.)1.Aí. 2.Então.Cf.so. 3.Por,,,Araujo & Hagemeijer (2013),
soka,[s??ka],Verbo,Forro (Santome),Amarrar. 2.Apertar. 3.Atar. isso.,,,Araujo & Hagemeijer (2013),
sokadu,[s??kadu],Adjetivo,Forro (Santome),Amarrado. 2.Apertado. sotxi[?s?t?i](n.)1.Destino. 2.Sorte.,,,Araujo & Hagemeijer (2013),
sôtxi-flima,[?sot?ifli?ma],Substantivo,Forro (Santome),Sôtxi-flima. Ritualde sumba[s??ba](v.)1.Chumbar. 2.Encarar.,Sôtxi-flima,Ritualde sumba[s??ba](v.,Araujo & Hagemeijer (2013),
transiçãodapuberdadeparaavidaadulta. sumbada,[s??bada],Substantivo,Forro (Santome),Frígida.,,,Araujo & Hagemeijer (2013),
sôvêtê,[sove?te],Verbo,Forro (Santome),Esgotar. sumbadu[s??badu](n.)1.Chumbado. 2.Inerte.,,,Araujo & Hagemeijer (2013),
soveza,[s?v??za],Verbo,Forro (Santome),Restar. 2.Sobejar. 3.So- sumbu[?s?bu](n.)1.Chumbo. 2.Mulhersexualmen-,,,Araujo & Hagemeijer (2013),
sovezu,[s?v??zu],Substantivo,Forro (Santome),Sobejos. 2.Sobra. 3.Resto. sumi[?sumi](adj.)Ciumento.,,,Araujo & Hagemeijer (2013),
sôwô,[?sowo],Substantivo,Forro (Santome),"Sôwô.Pratotípicoquepode,alter- sumi[?sumi](n.)Ciúmes.",,,Araujo & Hagemeijer (2013),
soya,[?s?ja],Substantivo,Forro (Santome),Conto. 2.História.3.Narrativatra- s n u h n or [ . ?s? 4 ] . ( S n u . c ) o S d e e nh fr o u r t . a. 5.Sumodefruta.,,,Araujo & Hagemeijer (2013),
sublidô,[subli?do],Verbo,Forro (Santome),Escalador. 2.Trepador. sungê[s??ge](n.)Senhor.,,,Araujo & Hagemeijer (2013),
sublidu,[su?blidu],Adjetivo,Forro (Santome),Caro. 2.Subido. supa[su?pa](v.)1.Chupar. 2.Soluçar. 3.Tersolu-,,,Araujo & Hagemeijer (2013),
sublinha,[su?bl??a],Substantivo,Forro (Santome),Sobrinha. ços.,,,Araujo & Hagemeijer (2013),
sublinhu,[su?bl??u],Substantivo,Forro (Santome),Sobrinho. supada[su?pada](n.)1.Espada. 2.Espadas.Umdos,,,Araujo & Hagemeijer (2013),
subli-taku,[su?bli?taku],Substantivo,Forro (Santome),Posiçãosexual. naipesdobaralho.Cf.fya-supada.,,,Araujo & Hagemeijer (2013),
damesmamadrinha. supapu,[supa?pu],Substantivo,Forro (Santome),Sopapo.,,,Araujo & Hagemeijer (2013),
sudu,[?sudu],Adjetivo,Forro (Santome),Surdo. supê[su?pe](n.)Espelho.,,,Araujo & Hagemeijer (2013),
suza,[su?za],Verbo,Forro (Santome),Sujar.,,,Araujo & Hagemeijer (2013),
sukata,[su?kata],Substantivo,Forro (Santome),Coisaestragada. 2.Sucata. suzu[?suzu](adj.)1.Indecente. 2.Sujo.,,,Araujo & Hagemeijer (2013),
sukli,[?sukli],Substantivo,Forro (Santome),Açúcar. suzu[?suzu](n.)Excremento.,,,Araujo & Hagemeijer (2013),
sukumbi,[suk??bi],Verbo,Forro (Santome),Sumir. suzu-d’olha [?suzu d???a] (n.),,,Araujo & Hagemeijer (2013),
xual. suzukotokoto,[?suzuk??t?k??t?],Expressão,Forro (Santome),Sujíssimo.,,,Araujo & Hagemeijer (2013),
teapetitesexual. swaswa,[swa?swa],Substantivo,Forro (Santome),Cobra-verde.Philothamnus,,,Araujo & Hagemeijer (2013),
sulu,[?sulu],Substantivo,Forro (Santome),Sul. thomensis. 2.Swaswa.Rinoreamolleri.,,,Araujo & Hagemeijer (2013),
ta,[?ta],Partícula,Forro (Santome),Cf.tava. tangana[t?g? a?na](adv.) Apenas. Suntanganatan,,,Araujo & Hagemeijer (2013),
ais. tanji,[t????i],Verbo,Forro (Santome),Chamardelonge. 2.Clamar.,,,Araujo & Hagemeijer (2013),
taba,[?taba],Substantivo,Forro (Santome),Tábua. 3.Tanger.,,,Araujo & Hagemeijer (2013),
tabaki,[ta?baki],Substantivo,Forro (Santome),Atabaque. tanjilina[t??? i?lina](n.)1.Tangerina. 2.Tangerinei-,,,Araujo & Hagemeijer (2013),
tabaku,[ta?baku],Substantivo,Forro (Santome),Tabaco. ra.Citrusreticulata.,,,Araujo & Hagemeijer (2013),
tabulêlu,[tabu?lelu],Substantivo,Forro (Santome),Tabuleiro. tanki[?t?k? i](n.)1.Chafariz. 2.Tanque.,,,Araujo & Hagemeijer (2013),
tabwada,[ta?bwada],Substantivo,Forro (Santome),Tabuada. tansu[?t?s?u](n.)1.Idiota. 2.Tanso.,,,Araujo & Hagemeijer (2013),
tada,[?tada],Substantivo,Forro (Santome),Metade. 2.Pedaço. tantan[t???t?]? (n.)Gafanhoto.,,,Araujo & Hagemeijer (2013),
tadadu,[ta?dadu],Adjetivo,Forro (Santome),Atrasado. 2.Demorado. tapa[ta?pa](v.)1.Tapar. 2.Vedar.,,,Araujo & Hagemeijer (2013),
tadji,[?tad?i],Substantivo,Forro (Santome),Tarde. tapadu[ta?padu](adj.)1.Tapado. 2.Vedado.,,,Araujo & Hagemeijer (2013),
tafon,[ta?fõ],Substantivo,Forro (Santome),Moscagrande. tapa-wê[?tapa?we](n.)Bofetada.,,,Araujo & Hagemeijer (2013),
taji,[?ta?i],Advérbio,Forro (Santome),Tarde.Cf.tadji. tapêtê[ta?pete](n.)Tapete.,,,Araujo & Hagemeijer (2013),
taka,[ta?ka],Verbo,Forro (Santome),Atacar. tapona[ta?p?na](n.)Palmadanacaracomascostas,,,Araujo & Hagemeijer (2013),
takaboto,[ta?kab??t?],Expressão,Forro (Santome),Abotoar. damão.,,,Araujo & Hagemeijer (2013),
takadu,[ta?kadu],Adjetivo,Forro (Santome),Atacado. tasa[?tasa](n.)Taça.,,,Araujo & Hagemeijer (2013),
taki,[?taki],Substantivo,Forro (Santome),Epilepsia.Cf.xtaki. tason[ta?s?]? (v.)Sentar(-se).,,,Araujo & Hagemeijer (2013),
taku-po,[?taku?p?],Substantivo,Forro (Santome),Cepo. tasondu[ta?s?d? u](adj.)Sentado.,,,Araujo & Hagemeijer (2013),
talabaxi,[tala?ba?i],Substantivo,Forro (Santome),Sacagrande. tasonzekete[ta?s??z?k??t?](expr.)Sentar-seimobili-,,,Araujo & Hagemeijer (2013),
talhadera,[ta?a?d?ra],Substantivo,Forro (Santome),Talhadeira. tataluga[tata?luga](n.) Tartaruga. Personagemnas,,,Araujo & Hagemeijer (2013),
tambwê,[t???bwe],Substantivo,Forro (Santome),Armadilha. 2.Jugo. 3.Ra- cipe.,,,Araujo & Hagemeijer (2013),
toeira. taxka,[?ta?ka],Substantivo,Forro (Santome),Pequenaloja. 2.Tasca.,,,Araujo & Hagemeijer (2013),
tamen,[ta?m?],Adjetivo,Forro (Santome),Adulto. 2.Crescido. 3.Gran- tayu[?taju](n.)1.Açougue. 2.Talho. 3.Vinco.,,,Araujo & Hagemeijer (2013),
tampu,[?t?p? u],Substantivo,Forro (Santome),Tampa. 2.Tampão. tebo[?t?b?](n.)Impotente.,,,Araujo & Hagemeijer (2013),
tanaji,[ta?na?i],Adjetivo,Forro (Santome),Tenaz. tegido. 4.Segurado.,,,Araujo & Hagemeijer (2013),
tanaza,[tana?za],Verbo,Forro (Santome),Danificar. 2.Escangalhar. têdukankankan[?teduk?k? ???k?]? (expr.) Agarradíssi-,,,Araujo & Hagemeijer (2013),
tanda,[t???da],Verbo,Forro (Santome),Entregar. mo.,,,Araujo & Hagemeijer (2013),
tefitefi,[?t?fi?t?fi],Ideofone,Forro (Santome),Cf.klosontefitefi. tezadutõõõ[t??zadu?tõõõ](adj.)Esticadíssimo.,,,Araujo & Hagemeijer (2013),
têfitxin,[?tefi?t??],Expressão,Forro (Santome),Fazerintrigas. t???[?t???](id.)Cf.mundjadut???.,,,Araujo & Hagemeijer (2013),
têkontaku,[?te?kõta?ku],Expressão,Forro (Santome),Terresponsabilida- tijigadu[ti?i?gadu](n.)Tísico.,,,Araujo & Hagemeijer (2013),
descom. tijigu,[ti??igu],Substantivo,Forro (Santome),Tuberculose.,,,Araujo & Hagemeijer (2013),
tela,[?t?la],Substantivo,Forro (Santome),Nação. 2.País. 3.PlanetaTerra. tindji[t??d?i](n.)Pênisdecriança.Cf.txintxi.,,,Araujo & Hagemeijer (2013),
telefona,[t?l?f??na],Verbo,Forro (Santome),Telefonar. tintu[?t?tu](adj.)Tinto.,,,Araujo & Hagemeijer (2013),
telefoni,[t?l??f?ni],Substantivo,Forro (Santome),Telefone. tipu[?tipu](n.)1.Fulano. 2.Tipo.,,,Araujo & Hagemeijer (2013),
tema,[?t?ma],Substantivo,Forro (Santome),Teimosia. titiya[ti?tija](n.)Tia-avó.,,,Araujo & Hagemeijer (2013),
têmatxi,[?te?mat?i],Expressão,Forro (Santome),Serdifícil. titiyu[ti?tiju](n.)Tio-avô.,,,Araujo & Hagemeijer (2013),
tembe,[t???b?],Advérbio,Forro (Santome),Também.Cf.tembeten. tixi[ti??i](v.)Espirrar.,,,Araujo & Hagemeijer (2013),
templa,[?t?p?la],Substantivo,Forro (Santome),Condimento. 2.Pimenta. tiya[?tija](n.)Tia.,,,Araujo & Hagemeijer (2013),
tendê,[t??de],Verbo,Forro (Santome),Compreender. 2.Entender. tlapasa[tla?pasa](n.) 1.Falsidade. 2.Mentira.,,,Araujo & Hagemeijer (2013),
tendêdô,[t?de?do],Substantivo,Forro (Santome),Entendedor. tlapaya[tlapa?ja](v.)Atrapalhar.,,,Araujo & Hagemeijer (2013),
tengu,[t??gu],Verbo,Forro (Santome),Coxear. tlapayadu[tlapa?jadu](adj.)Atrapalhado.,,,Araujo & Hagemeijer (2013),
tenha,[?t??? a],Substantivo,Forro (Santome),Tainha.Mugilliza. tlata[tla?ta](v.)1.Cuidar. 2.Tratar.,,,Araujo & Hagemeijer (2013),
tenta,[t??ta],Verbo,Forro (Santome),Tentar. tlatason[tlata?s?]? (n.)1.Cuidados. 2.Tratamento.,,,Araujo & Hagemeijer (2013),
têpena,[?te?p?na],Expressão,Forro (Santome),Apiedar-sede. 2.Lamen- consistenarepartiçãodecomidaebebidas.,,,Araujo & Hagemeijer (2013),
tar. tlaxi-kabêsa,[?tla?ika?besa],Substantivo,Forro (Santome),Nuca.,,,Araujo & Hagemeijer (2013),
tesa,[?t?sa],Substantivo,Forro (Santome),Fachada. 2.Testa. tlaxilin[tlaxi?l?](n.)Cordãodeouro.,,,Araujo & Hagemeijer (2013),
tesa-fela,[?t?sa?f?la],Substantivo,Forro (Santome),Terça-feira. tlaza[tla?za](v.)Atrasar.,,,Araujo & Hagemeijer (2013),
tese,[t??s?],Substantivo,Forro (Santome),Tese.Rinoreathomensis. tlazadu[tla?zadu](adj.)Atrasado.,,,Araujo & Hagemeijer (2013),
têsê,[te?se],Verbo,Forro (Santome),Entrançar. 2.Tecer. tlebesa[tl?b??sa](n.)Peixe-voador.Cheilopogonme-,,,Araujo & Hagemeijer (2013),
têsêdô,[tese?do],Substantivo,Forro (Santome),Tecedor. lanurus.,,,Araujo & Hagemeijer (2013),
têsidu,[te?sidu],Adjetivo,Forro (Santome),Tecido. tlebesa[tl?b??sa](v.)Atravessar.,,,Araujo & Hagemeijer (2013),
tesu,[?t?su],Substantivo,Forro (Santome),Terço. 3.Intrometido.4.Irrequieto.5.Metediço. 6.Traves-,,,Araujo & Hagemeijer (2013),
tete,[t??t?],Verbo,Forro (Santome),Andardeformalentaearrastada. so.,,,Araujo & Hagemeijer (2013),
têtema,[?tet??ma],Expressão,Forro (Santome),Teimar. tlêmê[tle?me](v.)Tremer.,,,Araujo & Hagemeijer (2013),
tetu,[?t?tu],Substantivo,Forro (Santome),Teto. tlêmêgidigidi[tle?megi?digi?di](expr.)Tremerinten-,,,Araujo & Hagemeijer (2013),
textu,[?t??tu],Substantivo,Forro (Santome),Texto. samente.,,,Araujo & Hagemeijer (2013),
têya,[?teja],Substantivo,Forro (Santome),Telha. tlêmêtatata[tle?metata?ta](expr.)Tiritar.,,,Araujo & Hagemeijer (2013),
teyateya,[?t?ja?t?ja],Substantivo,Forro (Santome),Mucumba. Rothmannia tlen[?tl?](n.)1.Comboio. 2.Trem.,Mucumba,Rothmannia tlen[?tl?](n.,Araujo & Hagemeijer (2013),
mis. tlêxi,[?tle?i],Numeral,Forro (Santome),Três.,,,Araujo & Hagemeijer (2013),
teza,[t??za],Verbo,Forro (Santome),Entesar. 2.Esticar. tlêxi-dexi[?tle?i?d??i](num.)Trinta.Cf.tlinta.,,,Araujo & Hagemeijer (2013),
tlezaman-pasa,[tl?za?m??pa?sa],Advérbio,Forro (Santome),Dehojeatrês tola[t??la](v.)1.Torar. 2.Torrar.,,,Araujo & Hagemeijer (2013),
dias. toladu,[t??ladu],Adjetivo,Forro (Santome),Torrado.,,,Araujo & Hagemeijer (2013),
