"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"swa potopoto","Expressão","muito suado Taywan top. Taiwan","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"swaswa","Substantivo","cf. kobo-ufyaT07                            te 1. n. país; 2. n. terra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tê afe","Expressão","acreditar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"taadi","Substantivo","tarde","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"há muito
taadi petepete","Expressão","muito tarde tempo; 3. expr. há tempos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"taanha","Substantivo","tainha tê fitxi 1. expr. ser arrogante;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"taaxi","Substantivo","costas 2. expr. ser cabeça-dura; 3. expr. ter feitio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"taaxi-ôtô","Substantivo","nuca tê konta ki 1. expr. assumir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ter
tabwe","Substantivo","trabalho responsabilidadeT17","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tama","Verbo","tomar tê papu 1. expr. cantar bem;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tama banhu","Expressão","tomar banho 2. expr. falar bem","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tama foosa","Expressão","tomar fôlego tê pene 1. expr. ter dó; 2. expr. ter pena","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tê tabwe","Expressão","dar trabalho toki n. toque","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tê tema","Expressão","teimar tolo v. beliscar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têêmê gidigidi","Expressão","tremer muito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tôlôja","Substantivo","tôlôja. Tipo de dança tradicional","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têêmê tatata","Expressão","tremer muito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"teempi","Substantivo","panela tradicional","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têênu","Substantivo","treino                         E14","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tono","Verbo","picar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"teesa-fya","Substantivo","terça-feira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tôôdô","Substantivo","tordo                               E06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têêxi","Numeral","três","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tôôdô-Ie","Substantivo","tordo-do-Príncipe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têêzê","Numeral","treze","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"telefoni","Substantivo","telefone","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tôôdô-Santome","Substantivo","tordo-de-São-Tomé","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tôôni","Substantivo","estorninho-do-Príncipe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tempu","Substantivo","tempo (Lamprotornis ornatos)T06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tempu rôpê","Expressão","época colonial tôôni-bôbô n. cf. tôôniT06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ten","Advérbio","até toxi v. tossir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"trezentu","Numeral","trezentos","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tuban","Substantivo","tubarão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tentu","Substantivo","tentativa tudu adv. tudo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têsêdô","Substantivo","tecedor tudu pe expr. tudo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"teta","Substantivo","testa tujyan n. tesoura","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têtuuga","Substantivo","tartaruga turixta n. turista","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têtuuga-baanku","Substantivo","tartaruga mão branca          tusan v. sentar                              A03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"têtuuga-warenga","Substantivo","tartaruga ambulância","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Txiagu","Antropónimo","Tiago","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tezadu ton","Expressão","muito tensionado txiigu 1. n. farinha de trigo; 2. n. trigo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"to kêtê pwê","Expressão","adicionar um pouco            txiipa n. intestino","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Txiloli","Substantivo","Tchiloli","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"tximatxi","Substantivo","tomate","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"toka","Verbo","tratar txinha v. forma verbal de ter no passado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"toka awa","Expressão","beber muito álcool txinta num. trinta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"toka pitu","Expressão","apitar txintxin n. txintxin (Stegastes imbricatus)T09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
txintxintxolo","Substantivo","tecelão-de-São-Tomé               ubasu-uman n. axila","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ubudu","Substantivo","pedra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txisêru","Numeral","terceiro ubuka 1. n. beira; 2. n. boca ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txitxi-paa","Substantivo","maçarico-das-rochas                  ubuka seka expr. calar-se","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ubwê","Substantivo","boi","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txiw","Substantivo","tio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"udedu","Substantivo","dedo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"udedu-di-musa","Substantivo","indicador","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txya bweeba","Expressão","barbear","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"udedu-gaani","Substantivo","dedão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"udedu-kitxi","Substantivo","mindinho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txya kidarê","Expressão","gritar por socorro udedu-metedi n. dedo médio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ôtô","Expressão","cantar udedu-neli n. anelar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txya toxi","Expressão","tossir udedu-ope n. dedo do pé","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txya ukpaka","Expressão","descascar udêntu adv. dentro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txya ventoza","Expressão","fazer tratamento                udumu n. pilão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uê","Substantivo","olho ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txya vuguvugu","Expressão","atirar um pedaço               uê-goosu n. olho-grosso","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txyabeta","Substantivo","txyabeta. Tipo de dança                ufaka n. faca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufi-kumin","Substantivo","caminho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txyan di","Advérbio","além de","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txyatu","Substantivo","teatro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufôgu tantan","Expressão","fogo muito forte","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txyô","Substantivo","quintal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufundi","Substantivo","ufundi. Prato típico à base","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Txyô Ve","Topónimo","Terreiro Velho de matabala ou mandioca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"txyonso","Substantivo","txyonsoT06                             ufundi-maakita, ufundi-maagita","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Prato típico elaborado
txyôria","Substantivo","teoria","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"peixe e
txyotxyo","Substantivo","txyotxyoT06                           temperos da terra","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-alimanha","Substantivo","coentro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-amiso","Substantivo","ufya-amisoT09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-azêdinha","Substantivo","azedinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bambi","Substantivo","chile branco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ubaaku-kadya","Substantivo","ânus","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bengi","Substantivo","bengue","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ubaaku-uku","Substantivo","ânus","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ubaasu","Substantivo","braço","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bengi-doxi","Substantivo","bengue-doce","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ubadê","Topónimo","Abade (Alchornea cordifolia)T09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uba-mye","Substantivo","sucupira ufya-boba n. begônia ampla","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-boba-baanku","Substantivo","begônia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-boba-vêmê","Substantivo","begônia ufya-kabese-kitxi n. folha-da-fortuna","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bola-mye","Substantivo","erva-de-São-João","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-kata-kikitxi","Substantivo","ufya-kata-kikitxiT15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bola-omi","Substantivo","folha-manuel-homem       ufya-kata-subi n. ufya-kata-subiT15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-keza-mye","Substantivo","vassourinha-doce","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bolelega","Substantivo","beldroega-grande         (Scoparia dulcis)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-keza-omi","Substantivo","ufya-keza-omi","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bolelega-mye","Substantivo","beldroega-pequena    (Borreria verticillata)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-klêmentê-baanku","Substantivo","quebra-pedras","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-bolelega-omi","Substantivo","beldroega-grande     (Chamaesyce prostrata)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-kwentu","Substantivo","coentro-de-São-Tomé","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-budu","Substantivo","folha-pedra                  (Eryngium foetidum)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-landê","Substantivo","simão-correia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"urya","Substantivo","ufya-d’uryaT09            (Lagenaria breviflora)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-fakêza","Substantivo","vassourinha-doce           ufya-levi n. musgo do mato","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-fitxisu","Substantivo","saia-roxa                 ufya-levi-omi n. ufya-levi-omi","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-fôgêtê","Substantivo","folha-foguete              ufya-madê n. mastruço","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-fugia","Substantivo","mamona ufya-makabali n. erva-de-colégio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-gêêza","Substantivo","samambaia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-mali-bêbê","Substantivo","malêbêbê","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-gêêza-bentu","Substantivo","samambaia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-malixa","Substantivo","folha-malícia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-gêêza-mye","Substantivo","folha-de-igreja","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-manjôlô","Substantivo","manjôlô","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-gêêza-omi","Substantivo","folha-de-igreja","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-mawva","Substantivo","malva (Abutilon","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-gêêza-zuden","Substantivo","samambaia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-maxkan","Substantivo","folha mosquito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-gôgô","Substantivo","gôgô, andiroba","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-mikoko","Substantivo","folha de micocó","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-gôgô-vêmê","Substantivo","gôgô, andiroba","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-muba","Substantivo","maioba","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-idintxi","Substantivo","ufya-idintxiT09","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-peetu","Substantivo","saia-roxa (Datura metel)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-kabese","Substantivo","folha-da-mina              ufya-peetu-baanku n. trombeteira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-kabese-kadê","Substantivo","folha-da-fortuna      ufya-pinikanu n. cordão-de-frade","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
ufya-pôôkô","Substantivo","folha-porco                          ukpami n. secador de peixe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukperi","Substantivo","ukperi. Cesto tradicional","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-pôôkô-usan","Substantivo","erva-tostão                     feita de folhas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uku","Substantivo","nádegas","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-ribu-baabu","Substantivo","kata-grande                     ukundu n. pelo pubiano e axilar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-santaji-ubasu-kafe","Substantivo","ufya-santaji­","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukuru din","Expressão","muito escuro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-santope","Substantivo","eufórbia (Euphorbia hirta)T15     ukuru kaynkayn expr. muito escuro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-sôfi","Substantivo","melão-de-São-Caetano                  ukwatu n. lado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukyabu","Substantivo","quiabo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-tximija","Substantivo","natruja (Artemisia vulgaris)T15   ulensu n. lenço","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-ugalu","Substantivo","heliotrópio-indiano                  uman n. mão ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uman dudi","Expressão","de mãos vazias","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-ugêdê","Substantivo","ufya-ugêdêT15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ugbami","Expressão","ficar sem fazer nada","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-uguya-pobê","Substantivo","agulha-de-pobre","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"umatu","Substantivo","floresta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-vintê","Substantivo","folha-vintém                         umatu jigijigi expr. floresta densa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Umatu Mutendê","Topónimo","Umatu Mutendê","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-xa-gaban","Substantivo","chá-gabão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ufya-zaya","Substantivo","ufya-zaya (Cassia podocarpa)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uga","Substantivo","rua","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"umundu","Substantivo","mundo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Uga Filix","Topónimo","Rua Feliz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"umunha","Substantivo","unha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Uga Tabaladô","Topónimo","Rua dos Trabalhadores","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"umwe","Substantivo","mar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ugaafu","Substantivo","garfo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ugalu","Substantivo","galo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"unôtxi","Substantivo","noite","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ugani","Advérbio","à parte","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"unôtxi petepete","Expressão","noite escura","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ugatu-lagan","Substantivo","lagaia (Civetictis civetta)C06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"unôtxi pi","Expressão","noite cerrada","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ugbami","Substantivo","bochecha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"untwe","Substantivo","untwe (Chrysophyllum albidum)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uka","Substantivo","ocá","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa","Substantivo","árvore","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ukabu Vêêdê","Topónimo","Cabo Verde","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Upa Fita","Topónimo","Pau Fita","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukampu","Substantivo","campo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-alikasi","Substantivo","acácia","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ukampu Avyan","Topónimo","Aeroporto","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukampu-avyan","Substantivo","aeroporto 2. n. pau-lírio (Premna angolensis)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukantu","Substantivo","canto upa-bodi n. árvore-bode","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukaru","Substantivo","carro upa-fenza n. pé de feijão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ukpaka","Substantivo","casca upa-fita n. pau-sabão (Dracaena arborea)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-gofi","Substantivo","embaúba (Cecropia peltata)T15         utximu adj. último","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-gofi-baabu","Substantivo","pau-sabrina                      uvôdô n. festa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uvungu","Substantivo","dança","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-ise","Substantivo","pau-esteira (Pandanus tho)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ôzen","Substantivo","joelho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-kaba","Substantivo","pau-cabra (Trema orientalis)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"va","Verbo","rachar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-kukundya","Substantivo","coqueiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vaa","Verbo","passar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-kwêdanu","Substantivo","pau-fede","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"valê","Verbo","valer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"valô","Substantivo","valor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-paage","Substantivo","pau-ferro                             vani uman expr. despedir-se","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vansa","Substantivo","avançar                             A03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-saban","Substantivo","pau-sabão                             vapô n. barco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vasalu","Substantivo","soldado","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-têêxi","Substantivo","pau-três (Allophylus africanus)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-ufew","Substantivo","pau-ferro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ve ketekete","Expressão","muito velho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-ugêgê","Substantivo","cajazeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-usuda","Substantivo","pau-pimenta vê unwa expr. menstruar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upa-viru","Substantivo","upa-viruT15                           vedadi n. verdade","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upêtu","Substantivo","peito vêêdê adj. verde","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"upêtu-baanku","Substantivo","peito-branco vêêdê petepete expr. muito verde","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Vega","Antropónimo","Veiga","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"urabu-tujyan","Substantivo","rabo-de-tesoura vêmê 1. n. peixe vermelho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uratu","Substantivo","rato","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vêmê bababa","Expressão","muito vermelho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"uribubabu","Substantivo","uribubabuC15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vêmê barara","Expressão","cf. vêmê rararaT12","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"urôsu-Ie","Substantivo","arroz do Príncipe","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vêmê rarara","Expressão","muito vermelho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"urumu","Substantivo","safu (Dacryodes edulis)L02","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vendê","Verbo","vender","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vendêdô","Substantivo","vendedor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"usami","Substantivo","óssame (Afromonum danielli,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vensê","Verbo","vencer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"usolu","Substantivo","sol verasan n. variedade","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"usolu tantan","Expressão","sol muito forte vêsê n. vez","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"usuda","Substantivo","pimenta vêvê v. viver","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"usuda-malaka","Substantivo","pimenta bolinha vêzi n. vezes","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"usuva","Substantivo","chuva vida n. vida","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"utaji","Substantivo","utaji. Tipo de tempero tradicional vijin n. vizinho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
vijya","Verbo","vigiar wô n. crescer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vijyamentu","Substantivo","vijyamentu.                       wo sê adv. agora","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vika","Verbo","vir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Vindix Mininu","Substantivo","Vindix Mininu.","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xibi-baana","Substantivo","barbeiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vinka","Substantivo","atum-judeu (Katsuwonus pelamis)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xibi-fixa","Substantivo","xibi-fixaT06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vintxi","Numeral","vinte","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xibi-igigu","Substantivo","andorinha-das-chaminés","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"voga","Verbo","servir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xibi-ubuka-longu","Substantivo","beija-flor","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vogyan","Substantivo","vergonha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xibi-umatu","Substantivo","bico-de-lacre","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"voota","Substantivo","volta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vulukan","Substantivo","vulcão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xiga","Verbo","chegar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vwadô","Substantivo","peixe voador","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xigi","Verbo","continuar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vya","Verbo","tornar-se","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xikêvê","Verbo","escrever","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vya uê","Expressão","virar ao contrário xikêvêdu adj. escrito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vya uman","Expressão","roubar xikola n. escola","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vya vya","Expressão","ir indo xikudu n. escudo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vya we","Expressão","voltar a vir xila pro. aquilo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vyantêw","Substantivo","vinhateiro Ximalô top. Ximalô","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vyuva","Substantivo","viúva ximintew n. cemitério","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"vyuvinha","Substantivo","viuvinha ximya v. plantar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"wada","Verbo","esperar xin v. espremer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"wagawaga","Substantivo","erva-boi (Setaria megaphylla)T15   Xina 1. top. China; 2. v. aprender;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xinku","Numeral","cinco","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"wanga","Verbo","espalhar                        A03   xinkwenta num. cinquenta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"we","Verbo","ir xintxi v. sentir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"we vika","Expressão","vai e vem xintxidu 1. n. atenção; 2. n. memória;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"weee","Interjeição","nossa! 3. n. sentido","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"wêtenta","Numeral","oitenta xinxan adv. rapidamente","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"wêtu","Numeral","oito xipika v. explicar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"wêtusentu","Numeral","oitocentos xipitali n. hospital","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"wo","Advérbio","agora Xipitali Novu top. Hospital Novo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Xipitali Ve","Topónimo","Hospital Velho zuga bota expr. jogar fora","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
