"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"ferya","Substantivo","férias","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fa","Partícula","partícula de negação fêtu adj. feito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fa ô","Partícula","cf. faL02                                 fêvêrêw n. fevereiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"faa","Verbo","falar fexta n. festa","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"faa bê","Expressão","cumprimentar fêxtêw n. festeiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"falakan","Substantivo","falcão fêzê v. fazer","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzê anu","Expressão","fazer aniversário","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fala","Verbo","falar fêzê bôrôrô expr. fazer tudo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fomasan","Substantivo","curso","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzê fora","Expressão","defecar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fu txubun","Expressão","cair dentro d’água","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fumadu na upêtu","Expressão","com o peito cheio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzê migu","Expressão","fazer amigos Fundan top. Fundão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzê mixtura","Expressão","misturar fuselu n. fuselo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzê mosa","Expressão","exibir-se. Expressão                 fuuta 1. n. fruta; 2. n. fruta-pão ,","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fuxi","Verbo","fugir","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzê omi","Expressão","exibir-se. Expressão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fyan","Substantivo","farinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzê reparu","Expressão","reparar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fyan-izêtxi","Substantivo","fyan-izêtxi. Prato típico","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"da localidade do Picão feito com
fêzê umatu","Expressão","defecar farinha de mandioca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fêzêdô","Substantivo","fazedor fyan-mondyoko n. farinha de mandioca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"figadu","Substantivo","fígado fyan-putuga n. farinha de trigo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fyô kôkôkô","Expressão","muito frio","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fiji","Verbo","fritar fyoji n. fyoji. Prato típico elaborado à base","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fika","Verbo","ficar de banana madura e farinha de milho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fika ki dêsu","Expressão","fique com Deus! gaani adj. grande","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fika panapana","Expressão","ficar fraco gaava n. goiaba","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fin","Substantivo","fim gaavi adj. bonito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"finansa","Substantivo","finanças Gaban top. Gabão","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gajiga","Verbo","engasgar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
